ID,day,Gammaproteobacteria,Bacilli,Bacteroidia,Clostridia,Actinobacteria,Alphaproteobacteria,Deinococci
SHSU_2016_24,21,0.378016086,0.08847185,0.034852547,0.016085791,0.08847185,0.211796247,0
SHSU_2016_24,20,0.594985535,0.174541948,0.087753134,0.021215043,0.026036644,0.020250723,0
SHSU_2016_24,19,0.257265877,0.051847865,0.028345892,0.130247578,0.077143882,0.162899175,0
SHSU_2016_24,18,0.773912482,0.016974313,0.077965664,0.004776042,0.01452175,0.042855299,0
SHSU_2016_24,17,0.929902558,0.011449452,0.026187576,0.000914,0.005359318,0.009866017,0
SHSU_2016_24,16,0.534009717,0.006716205,0.451271792,0,0.001000286,0.001714776,0
SHSU_2016_24,15,0.355619116,0.004886188,0.614348707,0.001549279,0.000715,0.004528662,0
SHSU_2016_24,14,0.496013756,0.012115054,0.378458652,0.002501172,0.001250586,0.003986244,0
SHSU_2016_24,13,0.637097609,0.038194804,0.158989753,0.021115827,0.003726322,0.02173688,0
SHSU_2016_24,12,0.520692834,0.075348115,0.242928533,0.054922129,0.003299209,0.013051283,0
SHSU_2016_24,11,0.422992218,0.058434885,0.33078843,0.043165468,0.005726031,0.012773455,0
SHSU_2016_24,10,0.591125198,0.049015169,0.188815938,0.03294091,0.018111841,0.033733303,0
SHSU_2016_24,9,0.51438886,0.143888602,0.042392986,0.106962352,0.046003094,0.037338834,0
SHSU_2016_24,8,0.535051748,0.029681703,0.103104862,0.016598321,0.036125757,0.062097247,0
SHSU_2016_24,7,0.683068196,0.021950919,0.203354298,0.017141448,0.003082994,0.004439512,0
SHSU_2016_24,6,0.660417472,0.010823348,0.139060688,0.016235021,0.003962118,0.007537688,0
SHSU_2016_24,5,0.630758427,0.024859551,0.256320225,0.002668539,0.000421,0.000843,0
SHSU_2016_24,4,0.543756077,0.018822059,0.359286012,0.004445062,0.000208,0.000347,0
SHSU_2016_24,3,0.382858723,0.03323196,0.32806193,0.008791816,0.000774,0.001603539,0
SHSU_2016_24,2,0.31421142,0.208554447,0.321640841,0.116801104,0.000425,0.001061346,0
SHSU_2016_24,1,0.423927942,0.034364598,0.44595653,0.009692579,0.000392,0.001860192,0
SHSU_2016_64,21,0.047619048,0.214285714,0.380952381,0.166666667,0.047619048,0.095238095,0
SHSU_2016_64,20,0.612244898,0.081632653,0.132653061,0.030612245,0.051020408,0.071428571,0.020408163
SHSU_2016_64,19,0.623134328,0.059701493,0,0,0.02238806,0.235074627,0.01119403
SHSU_2016_64,18,0.678396308,0.145659071,0.062878569,0.003461206,0.040669166,0.045860975,0.00230747
SHSU_2016_64,17,0.774268034,0.191650503,0.017641082,0.009697977,0.003417382,0.000739,0
SHSU_2016_64,16,0.308778924,0.561487131,0.119507756,0.007452986,0.000173,0.000347,0
SHSU_2016_64,15,0.350254478,0.54683059,0.062859409,0.036684513,0.000529,0,0
SHSU_2016_64,14,0.134695714,0.80155517,0.009318167,0.050639419,0,0.000321,0
SHSU_2016_64,13,0.34959983,0.550038955,0.040512784,0.050286848,0.001770664,0.002478929,0
SHSU_2016_64,12,0.401833461,0.470796583,0.060907007,0.061323703,0.000486,0.000139,0
SHSU_2016_64,11,0.35870313,0.511351909,0.040419677,0.076453388,0.001719986,0.002407981,0.001633987
